,Number,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
28,29.0,Terrence Woods,Florida A&M,28.0,29.2,20.5,6.0,13.5,0.444,5.0,10.9,0.457,3.6,4.0,0.885,0.6,3.4,4.0,1.0,1.4,0.0,1.7,2.4
29,30.0,Jermaine Boyette,Weber State,32.0,32.0,20.5,6.2,11.4,0.544,1.0,2.8,0.348,7.1,8.5,0.835,1.1,1.4,2.5,3.3,1.8,0.0,2.4,2.6
30,31.0,Shawn Hall,Appalachian State,28.0,31.3,20.5,6.8,18.6,0.363,3.7,11.0,0.333,3.3,4.0,0.821,0.6,2.4,3.0,2.5,1.1,0.2,3.3,0.9
31,32.0,Tee Trotter,Maryland-Eastern Shore,28.0,37.6,20.5,6.5,16.3,0.4,3.0,7.7,0.386,4.4,5.4,0.821,0.5,1.9,2.3,3.1,1.0,0.0,3.6,2.3
32,33.0,Joe Shipp,California,31.0,35.4,20.4,7.8,15.0,0.518,1.3,3.6,0.354,3.5,4.7,0.759,1.9,4.2,6.1,2.3,0.9,0.7,1.9,2.0
33,34.0,Ronald Blackshear,Marshall,29.0,32.8,20.3,6.6,16.6,0.395,3.4,9.1,0.37,3.8,4.3,0.888,0.7,2.9,3.6,1.6,0.7,0.1,2.9,1.9
34,35.0,Marcus Banks,UNLV,32.0,35.6,20.3,7.0,13.6,0.514,1.3,3.8,0.336,5.1,6.7,0.757,0.6,2.8,3.4,5.5,2.8,0.1,3.9,2.8
35,36.0,Chris Monroe,George Washington,29.0,33.6,20.3,5.9,13.8,0.431,2.0,6.1,0.333,6.4,8.9,0.714,1.9,3.1,5.0,1.7,1.0,0.3,3.1,2.7
36,37.0,Quinton Ross,Southern Methodist,30.0,35.2,20.3,6.4,14.1,0.453,1.4,4.7,0.298,6.1,7.7,0.793,2.6,3.8,6.4,2.1,1.5,0.8,2.1,2.2
37,38.0,Adam Hess,William & Mary,28.0,36.0,20.1,6.8,14.6,0.467,2.4,6.5,0.372,4.1,4.8,0.844,2.7,3.6,6.3,2.3,1.0,0.1,2.2,2.0
38,39.0,David West,Xavier,32.0,36.5,20.1,6.7,13.0,0.513,0.3,0.8,0.346,6.5,8.0,0.816,3.1,8.7,11.8,3.2,1.3,1.6,2.7,3.0
39,40.0,Drew Schifino,West Virginia,29.0,34.2,20.1,7.6,16.8,0.452,0.9,2.9,0.301,4.0,6.0,0.669,1.4,3.3,4.7,2.3,1.1,0.3,2.4,2.0
40,41.0,Brian Cook,Illinois,30.0,31.3,20.0,6.7,14.1,0.479,0.9,3.0,0.303,5.6,6.8,0.82,1.5,6.1,7.6,2.0,0.7,0.4,2.8,2.9
41,42.0,Craig Smith,Boston College,31.0,31.9,19.9,7.8,12.9,0.603,0.1,0.5,0.2,4.3,6.3,0.677,3.2,4.7,7.9,1.3,0.9,0.9,2.4,3.4
42,43.0,Vernard Hollins,Wright State,28.0,36.6,19.9,7.0,14.7,0.478,0.1,1.0,0.103,5.7,8.1,0.702,1.8,3.9,5.7,3.9,1.1,0.4,3.1,2.1
43,44.0,Jameer Nelson,Saint Joseph's,30.0,34.9,19.7,6.5,14.9,0.435,2.1,6.3,0.339,4.6,6.0,0.772,1.3,3.8,5.1,4.7,2.2,0.2,2.9,2.1
44,45.0,Luke Ridnour,Oregon,33.0,35.4,19.7,6.2,14.2,0.432,2.5,6.4,0.382,4.9,5.6,0.88,0.6,2.8,3.4,6.6,1.9,0.1,3.9,2.3
45,46.0,Carl English,Hawaii,31.0,35.9,19.6,6.4,14.9,0.428,2.9,7.3,0.392,3.9,5.4,0.731,1.0,4.3,5.4,2.4,0.7,0.1,2.6,2.5
